Chn,dec,id,Time,t,B0,B0,B0,,C0,,,,,,,
236,178,000000B2,27626.68629,0.13568,-2,,,,14,,,,18,,,
237,560,230,27626.68654,0.13593,-384,,,,-368,,,,-364,,,
238,803,323,27626.6868,0.13619,-627,,,,-611,,,,-607,,,
239,355,163,27626.68706,0.13645,-179,,,,-163,,,,-159,,,
240,1280,500,27626.68731,0.1367,-1104,,,,-1088,,,,-1084,,,
241,1381,565,27626.68757,0.13696,-1205,,,,-1189,,,,-1185,,,
242,355,163,27626.68885,0.13824,-179,,,,-163,,,,-159,,,
243,1381,565,27626.68927,0.13866,-1205,,,,-1189,,,,-1185,,,
244,355,163,27626.6909,0.14029,-179,,,,-163,,,,-159,,,
245,1381,565,27626.69132,0.14071,-1205,,,,-1189,,,,-1185,,,
246,355,163,27626.69294,0.14233,-179,,,,-163,,,,-159,,,
247,1381,565,27626.69337,0.14276,-1205,,,,-1189,,,,-1185,,,
248,355,163,27626.69499,0.14438,-179,,,,-163,,,,-159,,,
249,1381,565,27626.69533,0.14472,-1205,,,,-1189,,,,-1185,,,
250,144,90,27626.69559,0.14498,32,,,,48,,,,52,,,
251,152,98,27626.69585,0.14524,24,,,,40,,,,44,,,
252,178,000000B2,27626.6961,0.14549,-2,,,,14,,,,18,,,
253,196,000000C4,27626.69636,0.14575,-20,,,,-4,,,,0,3,20,0.15
254,560,230,27626.69661,0.146,-384,,,,-368,,,,-364,,,
255,803,323,27626.69687,0.14626,-627,,,,-611,,,,-607,,,
256,355,163,27626.69713,0.14652,-179,,,,-163,,,,-159,,,
257,1280,500,27626.69738,0.14677,-1104,,,,-1088,,,,-1084,,,
258,1381,565,27626.69755,0.14694,-1205,,,,-1189,,,,-1185,,,
259,355,163,27626.699,0.14839,-179,,,,-163,,,,-159,,,
260,1381,565,27626.69943,0.14882,-1205,,,,-1189,,,,-1185,,,
261,355,163,27626.70105,0.15044,-179,,,,-163,,,,-159,,,
262,1381,565,27626.70148,0.15087,-1205,,,,-1189,,,,-1185,,,
