,Chn,Identifier,Flg,DLC,D0,1,2,3,4,5,6,D7,Time,Dir
,0,000000C4,,8,0C,0D,00,00,00,00,00,00,,27323.271930,R
,0,00000090,,8,64,00,00,00,00,00,00,00,,27323.272190,R
,0,00000098,,8,64,00,00,00,00,00,00,00,,27323.272440,R
,0,000000B2,,8,64,00,00,00,00,00,00,00,,27323.272700,R
,0,00000163,,8,00,00,00,00,00,01,0E,33,,27323.272870,R
,0,00000230,,8,64,00,00,00,00,00,00,00,,27323.273130,R
,0,00000323,,8,64,00,00,00,00,00,00,00,,27323.273380,R
,0,00000500,,8,64,00,00,00,00,00,00,00,,27323.273640,R
,0,00000565,,8,00,00,00,00,00,01,0E,33,,27323.273890,R
,0,00000163,,8,00,00,00,00,00,01,0E,34,,27323.274490,R
,0,00000565,,8,00,00,00,00,00,01,0E,34,,27323.274920,R
,0,00000163,,8,00,00,00,00,00,01,0E,35,,27323.276450,R
,0,00000565,,8,00,00,00,00,00,01,0E,35,,27323.276880,R
,0,00000163,,8,00,00,00,00,00,01,0E,36,,27323.278500,R
,0,00000565,,8,00,00,00,00,00,01,0E,36,,27323.278930,R
,0,00000163,,8,00,00,00,00,00,01,0E,37,,27323.280550,R
,0,00000565,,8,00,00,00,00,00,01,0E,37,,27323.280890,R
,0,000000C4,,8,0C,0D,00,00,00,00,00,00,,27323.281910,R
,0,00000090,,8,64,00,00,00,00,00,00,00,,27323.282170,R
,0,00000098,,8,64,00,00,00,00,00,00,00,,27323.282430,R
,0,000000B2,,8,64,00,00,00,00,00,00,00,,27323.282680,R
,0,00000163,,8,00,00,00,00,00,01,0E,38,,27323.282940,R
,0,00000230,,8,64,00,00,00,00,00,00,00,,27323.283190,R
,0,00000323,,8,64,00,00,00,00,00,00,00,,27323.283370,R
,0,00000500,,8,64,00,00,00,00,00,00,00,,27323.283620,R
,0,00000565,,8,00,00,00,00,00,01,0E,38,,27323.283880,R
,0,00000163,,8,00,00,00,00,00,01,0E,39,,27323.284650,R
,0,00000565,,8,00,00,00,00,00,01,0E,39,,27323.284990,R
,0,00000163,,8,00,00,00,00,00,01,0E,3A,,27323.286610,R
,0,00000565,,8,00,00,00,00,00,01,0E,3A,,27323.287030,R
,0,00000163,,8,00,00,00,00,00,01,0E,3B,,27323.288660,R
,0,00000565,,8,00,00,00,00,00,01,0E,3B,,27323.289080,R
,0,00000163,,8,00,00,00,00,00,01,0E,3C,,27323.290700,R
,0,00000565,,8,00,00,00,00,00,01,0E,3C,,27323.291130,R
,0,000000C4,,8,0C,0D,00,00,00,00,00,00,,27323.291900,R
,0,00000090,,8,64,00,00,00,00,00,00,00,,27323.292150,R
,0,00000098,,8,64,00,00,00,00,00,00,00,,27323.292410,R
,0,000000B2,,8,64,00,00,00,00,00,00,00,,27323.292670,R
,0,00000163,,8,00,00,00,00,00,01,0E,3D,,27323.292920,R
,0,00000230,,8,64,00,00,00,00,00,00,00,,27323.293180,R
,0,00000323,,8,64,00,00,00,00,00,00,00,,27323.293350,R
,0,00000500,,8,64,00,00,00,00,00,00,00,,27323.293610,R
,0,00000565,,8,00,00,00,00,00,01,0E,3D,,27323.293860,R
,0,00000163,,8,00,00,00,00,00,01,0E,3E,,27323.294800,R
,0,00000565,,8,00,00,00,00,00,01,0E,3E,,27323.295230,R
,0,00000163,,8,00,00,00,00,00,01,0E,3F,,27323.296850,R
,0,00000565,,8,00,00,00,00,00,01,0E,3F,,27323.297270,R
,0,00000163,,8,00,00,00,00,00,01,0E,40,,27323.298900,R
,0,00000565,,8,00,00,00,00,00,01,0E,40,,27323.299320,R
,0,00000163,,8,00,00,00,00,00,01,0E,41,,27323.300940,R
,0,00000565,,8,00,00,00,00,00,01,0E,41,,27323.301290,R
,0,000000C4,,8,0C,0D,00,00,00,00,00,00,,27323.301880,R
,0,00000090,,8,64,00,00,00,00,00,00,00,,27323.302140,R
,0,00000098,,8,64,00,00,00,00,00,00,00,,27323.302390,R
,0,000000B2,,8,64,00,00,00,00,00,00,00,,27323.302650,R
,0,00000230,,8,64,00,00,00,00,00,00,00,,27323.302910,R
,0,00000163,,8,00,00,00,00,00,01,0E,42,,27323.303160,R
,0,00000323,,8,64,00,00,00,00,00,00,00,,27323.303420,R
,0,00000500,,8,64,00,00,00,00,00,00,00,,27323.303670,R
,0,00000565,,8,00,00,00,00,00,01,0E,42,,27323.303850,R
,0,00000163,,8,00,00,00,00,00,01,0E,43,,27323.304950,R
,0,00000565,,8,00,00,00,00,00,01,0E,43,,27323.305380,R
,0,00000163,,8,00,00,00,00,00,01,0E,44,,27323.307000,R
,0,00000565,,8,00,00,00,00,00,01,0E,44,,27323.307430,R
,0,00000163,,8,00,00,00,00,00,01,0E,45,,27323.309050,R
,0,00000565,,8,00,00,00,00,00,01,0E,45,,27323.309480,R
,0,00000163,,8,00,00,00,00,00,01,0E,46,,27323.311100,R
,0,00000565,,8,00,00,00,00,00,01,0E,46,,27323.311530,R
,0,000000C4,,8,0C,0D,00,00,00,00,00,00,,27323.311870,R
,0,00000090,,8,64,00,00,00,00,00,00,00,,27323.312120,R
,0,00000098,,8,64,00,00,00,00,00,00,00,,27323.312380,R
,0,000000B2,,8,64,00,00,00,00,00,00,00,,27323.312630,R
,0,00000230,,8,64,00,00,00,00,00,00,00,,27323.312890,R
,0,00000323,,8,64,00,00,00,00,00,00,00,,27323.313150,R
,0,00000163,,8,00,00,00,00,00,01,0E,47,,27323.313400,R
